link,identifier,title,creator,dc_creator,publisher,date,issued,description,subject,price,extent,materialType,alternative,edition,volumeTitle,seriesTitle,volume,seriesCreator,publicationName
026095618,"{'JPNO': ['22562054'], 'TOHANMARCNO': ['33222894'], 'NDLBibID': ['026095618'], 'ISBN': ['978-4-588-32132-0']}","[{'value': '日本史学のフロンティア', 'transcription': 'ニホンシガク ノ フロンティア'}]","[{'name': '荒武, 賢一朗', 'transcription': 'アラタケ, ケンイチロウ'}, {'name': '太田, 光俊, 1978-', 'transcription': 'オオタ, ミツトシ, 1978-'}, {'name': '木下, 光生', 'transcription': 'キノシタ, ミツオ'}]","[{'name': '荒武賢一朗, 太田光俊, 木下光生 編'}]","[{'name': '法政大学出版局', 'location': '東京'}]",2015.2,2015,"['表紙のタイトル: The Frontiers of Japanese History', '文献あり']","{'NDLSH': ['日本--歴史'], 'NDLC': ['GB71'], 'NDC9': ['210.04']}",4500円,['310p ; 22cm'],['図書'],,,,,['2 (列島の社会を問い直す)'],,
026284952,"{'JPNO': ['22556483'], 'TOHANMARCNO': ['33251224'], 'NDLBibID': ['026284952'], 'ISBN': ['978-4-8058-5139-5']}","[{'value': '精神保健福祉法の最新知識 : 歴史と臨床実務', 'transcription': 'セイシン ホケン フクシホウ ノ サイシン チシキ : レキシ ト リンショウ ジツム'}]","[{'name': '日本精神科病院協会', 'transcription': 'ニホン セイシンカ ビョウイン キョウカイ'}, {'name': '高柳, 功, 1937-', 'transcription': 'タカヤナギ, イサオ, 1937-'}, {'name': '山本, 紘世, 1941-', 'transcription': 'ヤマモト, コウセイ, 1941-'}, {'name': '櫻木, 章司', 'transcription': 'サクラギ, ショウジ'}]","[{'name': '日本精神科病院協会 監修'}, {'name': '高柳功, 山本紘世, 櫻木章司 編著'}]","[{'name': '中央法規出版', 'location': '東京'}]",2015.4,2015,['索引あり'],"{'NDLSH': ['精神保健福祉法'], 'NDLC': ['AZ-564'], 'NDC9': ['498.12']}",4500円,['530p ; 21cm'],['図書'],,['3訂'],,,,,
026055492,"{'JPNO': ['22534620'], 'TOHANMARCNO': ['23506382'], 'NDLBibID': ['026055492'], 'ISBN': ['978-4-284-30760-4'], 'SetISBN': ['978-4-284-30756-7']}","[{'value': '特別支援教育・福祉年史集成', 'transcription': 'トクベツ シエン キョウイク フクシ ネンシ シュウセイ'}]","[{'name': '津曲, 裕次, 1936-', 'transcription': 'ツマガリ, ユウジ, 1936-'}]",[{'name': '津曲裕次 監修'}],"[{'name': '日本図書センター', 'location': '東京'}]",2015.1,2015,"['ISBN(set) : 978-4-284-30756-7（(set)）', '「「ひなどり学園」50年の歩みと知的障害児通園施設の今後」(白川学園 2004年刊)の複製', '「百年の歩み」(白川学園 2009年刊)の複製ほか']","{'NDLSH': ['障害児教育--日本--歴史', '障害児福祉--日本--歴史--明治以後'], 'NDLC': ['FG1'], 'NDC9': ['378']}",,['1冊 ; 27cm'],['図書'],,,,,['第9巻'],,
026259703,"{'JPNO': ['22548469'], 'NDLBibID': ['026259703'], 'ISSN': ['1883-4221']}","[{'value': '福祉・人権概念の転回と歴史認識の転換 : プロジェクト共同研究', 'transcription': 'フクシ ・ ジンケン ガイネン ノ テンカイ ト レキシ ニンシキ ノ テンカン : プロジェクト キョウドウ ケンキュウ'}]","[{'name': '大阪産業大学産業研究所', 'transcription': 'オオサカ サンギョウ ダイガク サンギョウ ケンキュウジョ'}]",,"[{'name': '大阪産業大学産業研究所', 'location': '[大東]'}]",2015.3,2015,['文献あり'],"{'NDLSH': ['人権', '社会福祉'], 'NDLC': ['A225', 'A227'], 'NDC9': ['316.1']}",,['130p ; 21cm'],['図書'],,,,"[{'value': '産研叢書 ; 38', 'transcription': 'サンケン ソウショ ; 38'}]",,,
025995668,"{'JPNO': ['22525274'], 'TOHANMARCNO': ['33202493'], 'NDLBibID': ['025995668'], 'ISBN': ['978-4-7724-1405-0']}","[{'value': '犯罪学と精神医学史研究', 'transcription': 'ハンザイガク ト セイシン イガクシ ケンキュウ'}]","[{'name': '影山, 任佐, 1948-', 'transcription': 'カゲヤマ, ジンスケ, 1948-'}]",[{'name': '影山任佐 著'}],"[{'name': '金剛出版', 'location': '東京'}]",2015.1,2015,,"{'NDLSH': ['司法精神医学--歴史', '刑事学--歴史'], 'NDLC': ['A742'], 'NDC9': ['498.99']}",5800円,['310p ; 22cm'],['図書'],,,,,,,
026364296,"{'JPNO': ['22592764'], 'TOHANMARCNO': ['33273290'], 'NDLBibID': ['026364296'], 'ISBN': ['978-4-7576-0756-9']}","[{'value': '国語語彙史の研究', 'transcription': 'コクゴ ゴイシ ノ ケンキュウ'}]","[{'name': '国語語彙史研究会', 'transcription': 'コクゴ ゴイシ ケンキュウカイ'}]",[{'name': '国語語彙史研究会 編'}],"[{'name': '和泉書院', 'location': '大阪'}]",2015.3,2015,['索引あり'],"{'NDLSH': ['日本語--語彙--歴史'], 'NDLC': ['KF91'], 'NDC9': ['814']}",11000円,['399p ; 22cm'],['図書'],,,,,['34'],,
3382328,{'NDLJP': ['info:ndljp/pid/3382328']},[{'value': '規制の事前評価書'}],,,"[{'name': '国土交通省', 'location': '日本'}]",,,"['収集根拠 : インターネット資料収集保存事業（WARP）', '資料形態 : テキストデータ', 'コレクション : 国立国会図書館デジタルコレクション > 電子書籍・電子雑誌 > 国の機関 > 中央省庁 > 国土交通省']",,,,,,,,,,,
025351735,"{'JPNO': ['22456154'], 'TOHANMARCNO': ['33075637'], 'NDLBibID': ['025351735'], 'ISBN': ['978-4-87308-066-6']}","[{'value': '歴史をつくった市民たち : 語り下ろし市民活動', 'transcription': 'レキシ オ ツクッタ シミンタチ : カタリオロシ シミン カツドウ'}]","[{'name': '大阪ボランティア協会', 'transcription': 'オオサカ ボランティア キョウカイ'}]",[{'name': '大阪ボランティア協会 編'}],"[{'name': '大阪ボランティア協会', 'location': '大阪'}]",2014.3,2014,['年表あり'],"{'NDLSH': ['大衆運動--大阪府--歴史'], 'NDLC': ['EF5'], 'NDC9': ['309.02163']}",1600円,['247p ; 21cm'],['図書'],,,,,,,
025367299,"{'JPNO': ['22405974'], 'TOHANMARCNO': ['33079071'], 'NDLBibID': ['025367299'], 'ISBN': ['978-4-7923-2659-3']}","[{'value': '民事法学の歴史と未来 : 田山輝明先生古稀記念論文集', 'transcription': 'ミンジホウガク ノ レキシ ト ミライ : タヤマ テルアキ センセイ コキ キネン ロンブンシュウ'}]","[{'name': '五十嵐, 敬喜, 1944-', 'transcription': 'イガラシ, タカヨシ, 1944-'}, {'name': '近江, 幸治', 'transcription': 'オウミ, コウジ'}, {'name': '楜澤, 能生', 'transcription': 'クルミサワ, ヨシキ'}]","[{'name': '五十嵐敬喜, 近江幸治, 楜澤能生 編集委員'}]","[{'name': '成文堂', 'location': '東京'}]",2014.3,2014,['著作目録あり 年譜あり'],"{'NDLSH': ['民事法--論文集', '田山, 輝明, 1944-'], 'NDLC': ['A811'], 'NDC9': ['324.04']}",18000円,['708p ; 22cm'],['図書'],,,,,,,
999474,{'NDLJP': ['info:ndljp/pid/999474']},[{'value': '常設展示'}],,,"[{'name': '国立国会図書館', 'location': '日本'}]",,,"['収集根拠 : 国立国会図書館刊行物', '資料形態 : テキストデータ', 'コレクション : 国立国会図書館デジタルコレクション > 電子書籍・電子雑誌 > 国の機関 > 国会 > 国立国会図書館']",,,,,,,,,,,
000011072115,"{'JPNO': ['21868346'], 'NDLBibID': ['000011072115'], 'SetISBN': ['978-4-89774-545-9']}","[{'value': '特別支援・特別ニーズ教育の源流 : 鈴木治太郎の教育改革と適能教育論', 'transcription': 'トクベツ シエン トクベツ ニーズ キョウイク ノ ゲンリュウ : スズキ ハルタロウ ノ キョウイク カイカク ト テキノウ キョウイクロン'}]","[{'name': '高橋, 智, 1954-', 'transcription': 'タカハシ, サトル, 1954-'}, {'name': '前田, 博行', 'transcription': 'マエダ, ヒロユキ'}, {'name': '石川, 衣紀', 'transcription': 'イシカワ, イズミ'}]","[{'name': '高橋智, 前田博行, 石川衣紀 編'}]","[{'name': '緑蔭書房', 'location': '東京'}]",2010.11,2010,"['大阪市教育センター鈴木文庫蔵の複製', '折り込2枚', 'ISBN(set) : 978-4-89774-545-9（(set)）', '年表あり']","{'NDLSH': ['障害児教育', '補償教育', '大阪府--教育--歴史'], 'NDLC': ['FG1', 'FA77'], 'NDC9': ['378']}",,['407p ; 22cm'],['図書'],,,,"[{'value': '史料・日本近代と「弱者」 ; 第1集', 'transcription': 'シリョウ ニホン キンダイ ト ジャクシャ ; ダイ1シュウ'}]",['第8巻'],,
000001518806,"{'JPNO': ['81043125'], 'NDLBibID': ['000001518806'], 'ISBN': ['4-18-968109-1']}","[{'value': '話しことばの原理と教育 : 言調聴覚法の理論', 'transcription': 'ハナシコトバ ノ ゲンリ ト キョウイク'}]","[{'name': 'Guberina, Petar, 1913-2005'}, {'name': '北原, 一敏', 'transcription': 'キタハラ, カズトシ'}, {'name': '内藤, 史朗, 1933-', 'transcription': 'ナイトウ, シロウ, 1933-'}]","[{'name': 'ペタル・グベリナ 講述'}, {'name': '北原一敏, 内藤史朗 編著'}]","[{'name': '明治図書出版', 'location': '東京'}]",1981.9,1981,"['訳: 市橋弘道ほか', 'ペタル・グベリナの肖像あり']","{'NDLSH': ['聴覚・言語障害教育'], 'NDLC': ['FG4'], 'NDC8': ['378.2']}",2500円,['228p ; 19cm'],['図書'],,,,"[{'value': 'シリーズ・障害者の世界 ; 6', 'transcription': 'シリーズ ショウガイシャ ノ セカイ'}]",,,
000007039556,"{'NDLBibID': ['000007039556'], 'KAKENHINO': ['00351054']}","[{'value': '戦後障害児教育史研究;その思潮・制度・方法の総合的通史研究(2)', 'transcription': 'センゴ ショウガイジ キョウイクシ ケンキュウ; ソノ シチョウ ・ セイド ・ ホウホウ ノ ソウゴウテキ ツウシ ケンキュウ(2)'}]","[{'name': '荒川, 勇', 'transcription': 'アラカワ, イサム'}]","[{'name': '荒川, 勇, 東京学芸大学'}]",,1978-,1978,['文部省科学研究費補助金研究成果報告書'],{'NDLC': ['Y151']},,['冊'],['図書'],[{'value': '研究種目 一般研究(C)'}],,,,,,
000001192102,"{'JPNO': ['71017027'], 'NDLBibID': ['000001192102']}","[{'value': '世界教育史大系', 'transcription': 'セカイ キョウイクシ タイケイ'}]","[{'name': '梅根, 悟, 1903-1980', 'transcription': 'ウメネ, サトル, 1903-1980'}, {'name': '世界教育史研究会', 'transcription': 'セカイ キョウイクシ ケンキュウカイ'}]",[{'name': '世界教育史研究会 編'}],"[{'name': '講談社', 'location': '東京'}]",1974,1974,['監修: 梅根悟'],"{'NDLSH': ['障害者教育--歴史'], 'NDLC': ['FB2', 'FG1'], 'NDC': ['372']}",3200円,['398p ; 21cm'],['図書'],"[{'value': '障害児教育史', 'transcription': 'ショウガイジ キョウイクシ'}]",,,,['33'],,
000001375774,"{'JPNO': ['78018238'], 'NDLBibID': ['000001375774']}","[{'value': '戦後における神奈川県内精神薄弱特殊学級の変遷', 'transcription': 'センゴニ オケル カナガワ ケンナイ セイシン ハクジャク トクシュ ガッキュウ ノ ヘンセン'}]","[{'name': '榎田, 洋一', 'transcription': 'エノキダ, ヨウイチ'}]",[{'name': '榎田洋一 [ほか]編'}],"[{'name': '[戦後障害児教育史研究会]', 'location': '[小金井]'}]",[1978],1978,,"{'NDLSH': ['知的障害児', '障害者教育'], 'NDLC': ['FG6'], 'NDC': ['378.6']}",600円,['82p ; 25cm'],['図書'],,,,"[{'value': '障害児教育史の研究 ; 1', 'transcription': 'ショウガイジ キョウイクシ ノ ケンキュウ'}]",,,
