title,creator,extent,issued,material_type
むつぼしのひかり : 墨字訳 : 視覚障害者による視覚障害者のための明治の点字総合雑誌,点字雑誌『むつぼしのひかり』データ化・研究プロジェクト,"['6,230p ; 30cm']",2016,['図書']
[障害デイジー資料]昭和史の10大事件,宮部 みゆき,['6時間49分 ; 12cm'],2018,['DAISY']
視覚障害者の歴史資料集,,['30cm'],2016,['図書']
戦後日本の子どもから障害児を分けない教育の史的研究,"久米, 祐子",,2021-01-31,['博士論文']
清代中国の刑律に見る瘋病のある人（精神障害者）の処遇史研究［学位論文内容要旨］,"江, 先美",,2023-03,
[障害デイジー資料]浦和市史,浦和市総務部市史編さん室,['37時間20分 ; 12cm'],2015,['DAISY']
[障害デイジー資料]浦和市史,浦和市総務部市史編さん室,['31時間7分 ; 12cm'],2015,['DAISY']
[障害デイジー資料]浦和市史,浦和市総務部市史編さん室,['29時間34分 ; 12cm'],2015,['DAISY']
摂食障害の歴史社会学 ： 食行動の逸脱はどのように語られてきたのか,"山田, 理絵",,2021-10-28,['博士論文']
[障害デイジー資料]世界を見た幕臣たち : 幕末遣外使節団の軌跡,榎本 秋,['7時間4分 ; 12cm'],2017,['DAISY']
[障害デイジー資料]さいたま歴史散歩,相沢 明彦,['2時間49分 ; 12cm'],2014,['DAISY']
[障害デイジー資料]エウロペアナ : 二〇世紀史概説,"Ouředník,Patrik",['5時間5分 ; 12cm'],2016,['DAISY']
[障害デイジー資料]「歴史認識」とは何か : 対立の構図を超えて,大沼 保昭,['9時間8分 ; 12cm'],2016,['DAISY']
[障害デイジー資料]奥秩父の伝説と史話,太田 巌,['7時間37分 ; 12cm'],2014,['DAISY']
[障害デイジー資料]昭和史の中の埼玉,朝日新聞社,['2時間56分 ; 12cm'],2013,['DAISY']
（付属電子媒体）視覚障害当事者の運動の歴史 : 日本盲人会連合７０年史,,['ＣＤ－ＲＯＭ（１枚） ; １２ｃｍ'],2018,
[障害デイジー資料]昭和史の埼玉 : 激動の60年,史の会,['13時間11分 ; 12cm'],2014,['DAISY']
「知的障害者」に向けた前期中等教育において職業生活準備教育が重視される背景 -歴史的観点からの考察-,"Nishiwaki, Keita",,2022,['博士論文']
[障害デイジー資料]埼玉の女たち : 歴史の中の25人,韮塚 一三郎,['9時間40分 ; 12cm'],2014,['DAISY']
[障害デイジー資料]思わず人に話したくなる埼玉学,県民学研究会,['5時間8分 ; 12cm'],2013,['DAISY']
近代日本における災害救済と障害・疾病等を有する子どもの特別教育史研究 : 濃尾震災（1891年）を中心として,"能田, 昴",,2020-03-17,['博士論文']
戦後の障害児教育運動に関する歴史研究: 東京都の全員就学をめぐる運動と政策を中心に,"河合, 隆平",,2019-06-17,
パラリンピアンかく語りき障害者スポーツと歩む人びと,笹川スポーツ財団,['30cm'],2016,['図書']
知的障害児教育の制度化,"鈴木, 治太郎",['22cm'],2010,['図書']
障害者スポーツの歴史と現状,日本障害者スポーツ協会,['30cm'],2009,['図書']
日本における特別ニーズ保育の歴史的系譜: 戦前の養育困難・障害乳幼児問題を中心に,"河合, 隆平",,2016-04-21,
"関市における地域委員会の現状と課題 . 障害者の就労支援と福祉施設の役割 . 都市計画 : 岐阜市, 常滑市, 高蔵寺 . 旧早野邸セミナーハウス史料整理 . 下呂市飛騨金山の昔と今を知る . 企業や公的機関の職場に関する調査",岐阜大学地域科学部,['30cm'],2022,['図書']
往復書簡 : 日本の障害者福祉の礎(いしずえ)となったヘレン・ケラー女史と岩橋武夫,日本ライトハウス,['30cm'],2012,['図書']
養護学校義務制実施期における重症心身障害児教育実践の成立と構造に関する歴史研究,"河合, 隆平",,2016-05-23,
障害者スポーツの歴史と現状,日本障害者スポーツ協会,['30cm'],2007,['図書']
第II部　「障害と開発」と障害当事者 - 第7章　ろう者における人間開発の基本モデル―アフリカのろう教育形成史の事例―,"亀井, 伸孝",,2008,['図書']
精神薄弱問題史研究紀要,精神薄弱問題史研究会,['30冊 ; 26cm'],"1964, 1986",['雑誌']
往復書簡―日本の障害者福祉の礎となったヘレン・ケラー女史と岩橋武夫,日本ライトハウス,['4巻'],2012-10,"['図書', '点字']"
障害児教育・福祉年史集成　：　解説・付録,,"['９８ｐ', '２６ｃｍ']",2005-11,['図書']
現代経済・社会の歴史と論理 : 中央学院大学創立二十周年記念論集,中央学院大学総合科学研究所,['529p ; 22cm'],1986,['図書']
障害者スポーツの歴史と現状,日本障害者スポーツ協会,['30cm'],2005,['図書']
障害者福祉施設の歴史といずみ野福祉会の３５年　：　いずみ野福祉会がめざしてきたもの,狩野　和子,"['１０８ｐ', '３０ｃｍ']",2013-06,['図書']
日本史に探る聴覚障害者群像,"津名, 道代",['21cm'],2005,['図書']
障害児学校寄宿舎の歴史と現状,,['30cm'],2005,['図書']
第II部　「障害と開発」と障害当事者 -第10章　フィリピンのろう教育とろうコミュニティの歴史―マニラ地区を中心とした当事者主体の運動の形成と崩壊，復活―,"森, 壮也",,2008,['図書']
障害者スポーツの歴史と現状,日本障害者スポーツ協会,['30cm'],2004,['図書']
主張　高齢者、障害者に優しい居住,沢田　昌治,,2003-10,
視覚障害者の教育・職業・福祉 : その歴史と現状,谷合／侑,['7巻'],2005-03,"['図書', '点字']"
戦前戦後障害者運動史年表 : 戦前戦後障害者運動と関係法制,"杉本, 章",['１２０ｐ ; ２６ｃｍ'],2001,
戦前戦後障害者運動史年表 : 戦前戦後障害者運動と関係法制,杉本／章,['7巻'],2001-11,"['図書', '点字']"
[障害テープ資料]宏です。小川です : 昭和わたく史交友録,小川 宏(1926~),['カセット5巻'],2005,['録音図書（カセットテープ）']
植民地の障害者問題が社会福祉学に問いかけてやまぬもの : 日本近現代障害者問題史研究の反省を通して,"清水, 寛",['1冊(合本) ; 28cm'],2003,
近世障害者生活史の研究,"原田, 信一",['22cm'],2001,['図書']
日本知的障害教育学史の研究 : 明治期の近代化と欧米知的障害理論の受容・定着,"高橋, 智",['30cm'],2002,['図書']
特別ニーズ保育の歴史的系譜: 戦前日本の養育困難・障害乳幼児問題の構造変容の検討,"河合, 隆平",,2009-05-20,
障害者福祉論資料,,,2001,['図書']
日本の障害者雇用　：　ー歴史ー,,,2000-03,['視聴覚資料']
[障害テープ資料]さいたま歴史散歩,相沢 明彦,['カセット2巻'],2001,['録音図書（カセットテープ）']
講座転換期の障害児教育,,['27cm'],1999,['図書']
[障害テープ資料]奥秩父の伝説と史話,太田 巌,['カセット5巻'],2001,['録音図書（カセットテープ）']
東京の障害者教育史研究会会報,東京の障害者教育史研究会,['30cm'],1998,['雑誌']
戦後政治裁判史録,"田中, 二郎, 1906-1982","['381, 110p ; 22cm']",1980,['図書']
身体障害者スポーツの歴史と現状,日本身体障害者スポーツ協会,['26cm'],1997,['図書']
視覚障害者のための医学典籍講読法の開発と鍼灸・手技療法の歴史的考察,"和久田, 哲司",['30cm'],2004,['図書']
アジア・太平洋戦争と障害者の生存・人権・教育　：　ヒロシマ・ナガサキの障害者の被爆体験,清水 寛,"['1冊', '26cm']",1996,['図書']
身体障害者スポーツの歴史と現状,,['３３ｐ ; ３０ｃｍ'],1999,['図書']
近世障害者関係史料集成,"生瀬, 克己",['22cm'],1996,['図書']
障害と差別,国立国会図書館逐次刊行物部,['31cm'],1995,['図書']
1995年度埼玉大学「障害児教育史演習」報告書 : アジア・太平洋戦争と障害者の生存・人権・教育 : 第2集沖縄戦の中の障害者,,['26cm'],1996,['図書']
[障害テープ資料]近代日本の戦争 : 20世紀の歴史を知るために,色川 大吉,['カセット5巻'],2001,['録音図書（カセットテープ）']
障害児教育史年表,大山弘,['２５１ｐ ; ２６ｃｍ'],1992,
身体障害者スポーツの歴史と現状,,"['５７ｐ', '２６ｃｍ']",1996-04,['図書']
[障害テープ資料]昭和史の埼玉 : 激動の60年,史の会,['カセット9巻'],1996,['録音図書（カセットテープ）']
[障害テープ資料]埼玉の女たち : 歴史の中の25人,韮塚 一三郎,['カセット7巻'],1997,['録音図書（カセットテープ）']
身体障害者スポーツの歴史と現状,日本身体障害者スポーツ協会,['26cm'],1993,['図書']
[障害デイジー資料]近代日本の戦争 : 20世紀の歴史を知るために,色川 大吉,['6時間46分 ; 12cm'],1998,['DAISY']
[障害テープ資料]浦和市史,浦和市総務部市史編さん室,['カセット35巻'],1992,['録音図書（カセットテープ）']
日本における心身障害者体育の史的研究,北野 与一,['p1〜8 ; 26cm'],1994,['図書']
日本における心身障害者体育の史的発展の特質,北野 与一,['p267〜282 ; 26cm'],1995,['図書']
"Development of special education for the intellectually handicapped with particular reference to Victoria, Australia, and Tokyo, Japan : the development of societal attitudes towards people who are suffering from intellectual impairment","Henry, Kenneth W",,,['博士論文']
障害児教育・福祉年史集成,"津曲, 裕次",['27cm'],2004,['図書']
ドキュメント戦後の日本　：　障害と差別,国立国会図書館,"['346,73p', '31cm']",1995-05,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p197〜216 ; 26cm'],1994,['図書']
[障害テープ資料]浦和市史,浦和市総務部市史編さん室,['カセット32巻'],1990,['録音図書（カセットテープ）']
日本における心身障害者体育の史的研究,北野 与一,['p39〜61 ; 26cm'],1993,['図書']
日本における心身障害者体育の史的研究,北野 与一,['7p ; 26cm'],1993,['図書']
[障害テープ資料]浦和市史,浦和市総務部市史編さん室,['カセット31巻'],1989,['録音図書（カセットテープ）']
日本における心身障害者体育の史的研究,北野 与一,['p53〜62 ; 26cm'],1992,['図書']
日本における心身障害者体育の史的研究,北野 与一,['25p ; 26cm'],1991,['図書']
視覚障害者(児)の教育・職業・福祉 その歴史と現状,日本盲人福祉研究会,['カセット 11巻'],1990,"['録音資料', 'カセットテープ']"
茨城の障害者問題研究,全国障害者問題研究会茨城支部,"['86p', '26cm']",1984-03,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p325〜343 ; 26cm'],1990,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p79〜86 ; 26cm'],1990,['図書']
視覚障害者（児）の教育・職業・福祉　その歴史と現状,日本盲人福祉研究会編,['5巻'],1989-03,"['図書', '点字']"
視覚障害者（児）の教育・職業・福祉 -その歴史と現状-,谷合／侑,['10巻'],1989,"['図書', '点字']"
発達保障思想の形成 障害児教育の史的探究,"清水, 寛",['カセット 13巻'],1989,"['録音資料', 'カセットテープ']"
日本における心身障害者体育の史的研究,北野 与一,['p75〜82 ; 26cm'],1991,['図書']
地域に根ざす障害児学校づくりのあゆみ,"清水, 寛",['26cm'],1989,['図書']
公認心理師の基礎と実践,"野島, 一彦, 1947-",['276p ; 21cm'],2020,['図書']
広島の障害者福祉 : 障害者問題史とその実態,"田代, 国次郎〔著〕",['８１ｐ ; ２６ｃｍ'],1982,
広島の障害者福祉 : 障害者問題史とその実態,"田代, 国次郎",['26cm'],1982,['図書']
逆光の中の障害者たち 古代史から現代文学まで,"後藤, 安彦",['5冊'],1988,['図書']
わが国における心身障害体育史研究の動向及び課題,北野 与一,['p125〜128 ; 26cm'],1989,['図書']
[障害テープ資料]終わりなき旅 : 「中国残留孤児」の歴史と現在,井出 孫六,['カセット7巻'],1988,['録音図書（カセットテープ）']
50年の歴史を振り返って,全国情緒障害教育研究会,['26cm'],2017,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p195〜222(28p) ; 26cm'],1987,['図書']
聴覚障害教師の嚆矢吉川金造先生 : 吉川金造先生偉業調査報告 : 日本の教育史上に異彩を放った: 聾者のための聾者による聾教育を百年も前に実践した日本初の聾教師 1871-1939,,['30cm'],1998,['図書']
逆光の中の障害者たち,後藤安彦,['２７０ｐ ; １９ｃｍ'],1982,
日本における心身障害者体育の史的研究,北野 与一,['22p ; 26cm'],1986,['図書']
[障害テープ資料]昭和史の中の埼玉,朝日新聞浦和支局,['カセット2巻'],1983,['録音図書（カセットテープ）']
障害者問題史研究の動向と課題 : 研究方法論の検討を中心に,障害児教育学研究会,['27cm'],1988,['図書']
青森県障害児教育史年表,青森県障害児教育史研究会,['25cm'],1982,['図書']
障害者教育福祉リハビリテーション目次総覧,"津曲, 裕次",['22-27cm'],1990,['図書']
特殊教育 ; 精薄教育 ; 現場のための雑誌精薄教育 ; 現場のための精薄教育 ; 精神薄弱問題史研究紀要 ; 障害者問題史研究紀要 ; 精神薄弱児教育研究論文集 ; 発達教育 ; セガン研究 ; 療育研究ノート ; 自閉児教育研究 ; 精神薄弱者施設史研究 ; 発達障害研究 ; スペシャルオリンピック,"津曲, 裕次",['22cm'],1991,['図書']
日本における心身障害者体育の史的研究,北野 与一,['24p ; 26cm'],1985,['図書']
狩野力八郎著作集,"狩野, 力八郎, 1945-2015",['341p ; 22cm'],2019,['図書']
発達保障思想の形成 : 障害児教育の史的探究,"清水, 寛",['20cm'],1985,['図書']
特別支援教育史・人物事典,"藤島, 岳, 1933-2005","['232,248p ; 22cm']",2015,['図書']
精神療法面接における傾聴と共感,"木村, 宏之, 1968-",['259p ; 22cm'],2023,['図書']
[障害デイジー資料]終わりなき旅 : 「中国残留孤児」の歴史と現在,井出 孫六,['9時間38分 ; 12cm'],1986,['DAISY']
全国障害児学校「学校史」一覧,"荒川, 勇",['25cm'],1980,['図書']
障害者運動の歴史と現在 : 特集,福祉労働編集委員会,['21cm'],1979,['図書']
日本における心身障害者体育の史的研究,北野 与一,['p12〜22 ; 26cm'],1985,['図書']
戦後障害児教育史資料,戦後障害児教育史研究会,['26cm'],1978,['雑誌']
日本における心身障害者体育の史的研究,北野 与一,['p109〜130 ; 26cm'],1983,['図書']
福祉労働　：　障害者・保育・教育の総合誌,,"['180p', '22cm']",1979,['図書']
障害者教育史 : −社会問題としてたどる外国と日本の通史−,津曲‖裕次,['３１４Ｐ ; ２１ｃｍ'],1985,['図書']
逆光の中の障害　：　古代史から現代文学まで,後藤安彦,"['270p', '19cm']",1982,['図書']
逆光の中の障害者たち : 古代史から現代文学まで,後藤／安彦,['4巻'],1982-06,"['図書', '点字']"
逆光の中の障害者たち : 古代史から現代文学まで,後藤／安彦,['4巻'],1982,"['図書', '点字']"
てんかんケア・仙台.,"海野, 美千代",['252 p ; 26 cm'],2022,['図書']
講座・心身障害児の教育,鈴木 清,"['２７６ｐ', '２２ｃｍ']",1976,['図書']
発達保障思想の形成 : −障害児教育の史的探究−,清水‖寛,['３２８Ｐ ; ２０ｃｍ'],1981,['図書']
日本における心身障害者体育の史的研究　：　昭和２０年代の精神薄弱体育について,北野与一,"['ｐ１２〜２２', '２６ｃｍ']",1985,['図書']
むつぼしのひかり : 墨字訳,点字雑誌『むつぼしのひかり』データ化・研究プロジェクト,['30cm'],2020,['図書']
日本における心身障害者体育に関する史的研究,北野 与一,['p121〜132'],1981,['図書']
障害者のゆたかな未来をめざして : 歴史に学び新たな前進をめざして : ゆたか福祉会広報特別号,ゆたか福祉会実践研修推進委員会,['26cm'],1985,['図書']
日本における心身障害者体育に関する史的研究,北野 与一,['p99〜120 ; 26cm'],1980,['図書']
日本における心身障害者体育の史的研究　：　昭和３０年代から同４０年代前期の精神薄弱体育について,北野与一,"['ｐ７３〜９６', '２６ｃｍ']",1985,['図書']
交通事故診療と損害賠償実務の交錯,交通事故賠償研究会,['247p ; 21cm'],2016,['図書']
障害児教育史,"荒川, 勇",['21cm'],1974,['図書']
講座心身障害児の教育,鈴木清,"['276p', '22cm']",1973,['図書']
心身障害児教育の歴史と現状,"鈴木, 清",['22cm'],1973,['図書']
世界教育史大系 : 障害児教育史,世界教育史研究会,['４０８ｐ ; ２２㎝'],1974,['図書']
日常を拓く知 古典を読む,神戸女学院大学文学部,['109p ; 19cm'],2018,['図書']
障害児教育史 : 世界教育史大系,荒川，勇,['11巻'],1974,"['図書', '点字']"
天理教視力障害者布教連盟20年史略年譜,天理教視力障害者布教連盟,['22cm'],1977,['図書']
講座心身障害児の教育,細村迪夫,"['２７６ｐ', '２１ｃｍ']",1973,['図書']
史料・日本近代と「弱者」,,['22cm'],2010,['図書']
講座心身障害児の教育,"鈴木, 清",['22cm'],1973,['図書']
世界教育史大系　３３　障害児教育史,世界教育史研究会,['３９８ ; ２２'],1974,
県水稲作柄１０５やや良　史上２番目の豊作,,,1986-10-29,
講話より巨いなる山の動く日,"清水, 寛",['21 cm'],2023,['図書']
重症児福祉の歴史と現状および将来,"末光, 茂",,2001,['図書']
地域学実習報告書.,岐阜大学地域科学部,['108 p ; 30 cm'],2022,"['図書', '政府刊行物', '官公庁刊行物']"
石井亮一の精神薄弱児体育論,北野与一,"['１２１〜１３２ｐ', '２６ｃｍ']",1981,['図書']
むつぼしのひかり : 墨字訳,点字雑誌『むつぼしのひかり』データ化・研究プロジェクト,['30cm'],2016,['図書']
戦後障害児問題年表,精神薄弱問題史研究会,['25cm'],1973,['図書']
福祉社会へのアプローチ : 久塚純一先生古稀祝賀,"大曽根, 寛, 1950-",['710p ; 22cm'],2019,['図書']
日本における心身障害者体育に関する史的研究　：　戦後の盲学校体育に関する動向と課題,北野与一,"['ｐ９９〜１２０', '２６ｃｍ']",1980,['図書']
한국장애인사 : 역사 속의 장애 인물,"정, 창권",['26cm'],2014,['図書']
地域学実習報告書.,岐阜大学地域科学部,['104 p ; 30 cm'],2021,"['図書', '政府刊行物', '官公庁刊行物']"
特別なニーズ教育と学校改革 : 歴史と今日の課題,"高橋, 智",['27cm'],1999,['図書']
教育大学講座,東京教育大学,['15冊 ; 22cm'],"1950, 1951",['図書']
京都からの提言-21世紀の日本を考える : 京都大学附置研究所・センターシンポジウム : 報告書,京都大学,['124p ; 30cm'],2015,"['図書', '政府刊行物', '官公庁刊行物']"
日本手話学会第30回大会記念報告集,日本手話学術研究会,['86p ; 30cm + DVD-Video1枚 (12cm)'],2006,['図書']
国民皆介護 : 介護保険制度の改革,"京極, 高宣, 1942-",['175p ; 21cm'],2005,['図書']
いのちを選ばないで : やまゆり園事件が問う優生思想と人権,"藤井, 克徳, 1949-",['207p ; 21cm'],2019,['図書']
日本の生活問題と社会福祉,"藤本, 武, 1912-2002",['CD-ROM 1枚'],2023,"['電子資料', 'DVD・CD']"
教育支援と排除の比較社会史 : 「生存」をめぐる家族・労働・福祉,"三時, 眞貴子","['307,7p ; 22cm']",2016,['図書']
近藤益雄研究 : 大学での共同教育の実践 : 一九七六年度埼玉大学障害児教育史ゼミナール報告集第六集,"清水, 寛",['27cm'],1977,['図書']
生態人類学は挑む.,生態人類学会,['343p ; 21cm'],2021,['図書']
あたらしい狂気の歴史 : 精神病理の哲学,"小泉, 義之, 1954-",['285p ; 19cm'],2018,['図書']
障がいのある子どもの尊厳をめざしたトータルケアの探究,保健看護学研究会,['113p ; 30cm'],2017,['図書']
グローバリゼーションとつながりの人類学,"越智, 郁乃, 1978-",['395 p ; 22 cm'],2021,['図書']
ひとと生まれて人間となる : 糸賀一雄研究の新展開,"渡部, 昭男, 1954-",['281 p ; 21 cm'],2021,['図書']
多々良島ふたたび : ウルトラ怪獣アンソロジー,"山本, 弘, 1956-",['367p ; 16cm'],2018,['図書']
戦後日本教育方法論史,"田中, 耕治, 1952-",['262p ; 22cm'],2017,['図書']
鶴見和子と水俣 : 共生の思想としての内発的発展論,"杉本, 星子",['336p ; 22cm'],2024,['図書']
生活現場の活動者たち : 地域をつなぐ10の物語,"金, 早雪, 1957-",['330p ; 20cm'],2019,['図書']
共生の社会学 : ナショナリズム、ケア、世代、社会意識,"岡本, 智周, 1971-",['270p ; 20cm'],2016,['図書']
県史収集文書 39年度 身体障害児対策,（未整理）,['B5'],"1964, 1965",['図書']
アジアの質的心理学 : 日韓中台越クロストーク,"伊藤, 哲司, 1964-",['195p ; 21cm'],2018,['図書']
安藤昌益再発見 : 現代によみがえる「いのちの思想家」,"石渡, 博明, 1947-",['284p ; 20cm'],2022,['図書']
副田義也社会学作品集.,"副田, 義也, 1934-2021",['548p ; 22cm'],2021,['図書']
AIから読み解く社会 : 権力化する最新技術,東京大学Beyond AI研究推進機構,['315p ; 21cm'],2023,['図書']
家族会と出会って元気になる,"飯塚, 寿美, 1945-",['109p ; 21cm'],2015,['図書']
紛争と和解を考える : 集団の心理と行動,日本心理学会,['249p ; 21cm'],2019,['図書']
創立30周年記念論文集,JA共済総合研究所,['380 p ; 21 cm'],2021,['図書']
社会の変容と暮らしの再生,"室井, 研二, 1968-",['286p ; 22cm'],2022,['図書']
北欧ケアの思想的基盤を掘り起こす,"浜渦, 辰二, 1952-",['295p ; 22cm'],2018,['図書']
県史収集文書 民政 社会福祉 身体障害者福祉 指定医師 厚生世話課,（未整理）,['B5'],1966,['図書']
知のフロンティア : 生存をめぐる研究の現場,立命館大学生存学研究センター,['107p ; 21cm'],2017,['図書']
日本の介護現場における外国人労働者 : 日本語教育、キャリア形成、家族・社会保障の充実に向けて,"塚田, 典子, 1959-",['331p ; 22cm'],2021,['図書']
"人格の病理と精神療法 : 精神分析,森田療法,そして精神医学","牛島, 定信, 1939-",['222p ; 22cm'],2004,['図書']
スポーツの近現代 : その診断と批判,"有賀, 郁敏, 1957-",['473p ; 22cm'],2023,['図書']
身体障害者の歴史と現況と対策 : 身体障害者の福祉を推進するためのテキスト,高江‖常男,['７５ｐ ; ２６ｃｍ'],1961,['図書']
身体障害者の歴史と現况と對策 : 身体障害者の福祉を推進するためのテキスト,"高江, 常男",['26cm'],1961,['図書']
保育実践と児童家庭福祉論,"相沢, 譲治, 1958-",['122p ; 21cm'],2017,['図書']
新しい時代の大学入試,"繁桝, 算男, 1946-",['205p ; 21cm'],2014,['図書']
二十一世紀の英語文学,二十世紀英文学研究会,['272p ; 19cm'],2017,['図書']
教育と少年司法を結んだ先にあるもの : 子どもへの「寛容」を求めて,"中川, 明, 1941-",['318p ; 22cm'],2024,['図書']
人文知のカレイドスコープ,富山大学人文学部,['139p ; 21cm'],2018,['図書']
一番ケ瀬社会福祉論の再検討 : 生活権保障の視点とその広がり,"岩田, 正美, 1947-","['255,7p ; 22cm']",2013,['図書']
早稲田大学日本語学会設立60周年記念論文集,早稲田大学日本語学会,"['232,137p ; 22cm']",2021,['図書']
立憲国家の制度と展開 : 網中政機先生喜寿記念,"網中, 政機, 1943-",['413p ; 22cm'],2021,['図書']
交通賠償理論研究の道程,"藤村, 和夫, 1951-",['554p ; 22cm'],2020,['図書']
棄民のナショナリズム : 抵抗の流儀を学ぶために,花園大学人権教育研究センター,['251p ; 19cm'],2004,['図書']
越境,ことばを考える会,['338p ; 20cm'],2018,['図書']
衣笠隆幸選集,"衣笠, 隆幸, 1948-",['768p ; 22cm'],2017,['図書']
精神医学とは何か? : 犯罪学と病跡学からのアプローチ : 作田明遺稿集,"作田, 明, 1950-2011",['366p ; 20cm'],2011,['図書']
病いは物語である : 文化精神医学という問い,"江口, 重幸, 1951-",['386p ; 22cm'],2019,['図書']
身体と環境をめぐる世界史 : 生政治からみた「幸せ」になるためのせめぎ合いとその技法,"服部, 伸, 1960-",['418p ; 22cm'],2021,['図書']
てんかんケア・仙台.,"海野, 美千代",['201 p ; 26 cm'],2023,['図書']
医療の本質と変容 : 伝統医療と先端医療のはざまで,"高橋, 隆雄, 1948-2020",['378p ; 22cm'],2011,['図書']
部落解放論の最前線.,"朝治, 武, 1955-",['455p ; 21cm'],2021,['図書']
万人のための点字力入門 さわる文字から、さわる文化へ,"広瀬, 浩二郎, 1967-",['4冊 ; 27cm'],2011,['図書']
川崎市政の研究,"打越, 綾子, 1971-",['323p ; 22cm'],2006,['図書']
"乳幼児健診とその周辺,いま知っておきたいこと","松井, 陽",['55p ; 26cm'],2009,['図書']
万人のための点字力入門 : さわる文字から、さわる文化へ,"広瀬, 浩二郎, 1967-",['209p ; 21cm'],2010,['図書']
検証「中国経済発展モデル」の真実 : その起源・成果・代償・展望,"丁, 学良",['393p ; 20cm'],2013,['図書']
地域共生社会の実現とインクルーシブ教育システムの構築 : これからの特別支援教育の役割,"落合, 俊郎, 1950-",['208p ; 21cm'],2017,['図書']
不眠の科学,"井上, 雄一, 1956-",['246p ; 21cm'],2012,['図書']
さわって楽しむ博物館 ユニバーサル・ミュージアムの可能性,"広瀬, 浩二郎, 1967-",['5冊 ; 27cm'],2013,['図書']
言語におけるインターフェイス,"西原, 哲雄, 1961-",['293p ; 21cm'],2019,['図書']
医療的ケア児者の地域生活支援の行方 : 法制化の検証と課題,医療的ケアネット,['212p ; 21cm'],2013,['図書']
ドキュメント戦後の日本 : 新聞ニュースに見る社会史大事典,国立国会図書館逐次刊行物部,['31cm'],1994,['図書']
さわって楽しむ博物館 : ユニバーサル・ミュージアムの可能性,"広瀬, 浩二郎, 1967-",['253p ; 21cm'],2012,['図書']
揺らぐ主体/問われる社会,"桜井, 智恵子","['213,3p ; 19cm']",2013,['図書']
アジアにおける地域協力の可能性,"青木, 一能, 1946-",['270p ; 20cm'],2015,['図書']
リスク社会化環境における共生社会論 : 問題系の確認と展開,リスク共有型共生社会研究会,['162p ; 26cm'],2009,['図書']
現代市民法学と民法典,"池田, 恒男",['386p ; 22cm'],2012,['図書']
ファミリー・トラブル : 近代家族/ジェンダーのゆくえ,"金井, 淑子, 1944-",['307p ; 19cm'],2006,['図書']
地域から社会福祉を切り開く,"田代, 国次郎, 1935-2014",['261p ; 21cm'],2011,['図書']
人間と文化,島根県立大学短期大学部,['DVD-ROM 1枚 ; 12cm'],2017,"['電子資料', 'DVD・CD', '文書データ', '政府刊行物', '地方公共団体刊行物']"
人間と文化,島根県立大学短期大学部,"['257, 6p ; 26cm']",2017,"['図書', '政府刊行物', '地方公共団体刊行物']"
カトリック社会福祉の限界と展望 : 第4回カトリック社会福祉セミナー《報告書》,日本カトリック司教協議会,['57p ; 21cm'],2003,['図書']
震災復興学 : 阪神・淡路20年の歩みと東日本大震災の教訓,神戸大学震災復興支援プラットフォーム,['294p ; 21cm'],2015,['図書']
忘れえぬ声を聴く,"黒岩, 比佐子, 1958-2010",['252p ; 20cm'],2014,['図書']
難聴 : 知られざる人間風景,"津名, 道代",['21cm'],2005,['図書']
刑事政策と人権 : 一刑事法学者の歩み,"森本, 益之, 1940-",['437p ; 21cm'],2016,['図書']
研究論文・報告集,人と防災未来センター,['167p ; 30cm'],2020,['図書']
福祉の現場 : 実践と発言 : 伊藤博義先生古稀記念論文集,"伊藤, 博義, 1934-",['736p ; 19cm'],2004,['図書']
学術研究助成報告集,国土地理協会,['239p ; 30cm'],2016,['図書']
共生社会の創出をめざして,淑徳大学,['443p ; 22cm'],2016,['図書']
知の境界線を突破せよ! : 新領域融合プロジェクトの全貌,"奥松, 英幸",['270p ; 19cm'],2013,['図書']
民事手続法の発展 : 加藤哲夫先生古稀祝賀論文集,"三木, 浩一, 1958-",['1060p ; 22cm'],2020,['図書']
3.11社会と人間に問われるもの : 東日本大震災シンポジウム,仏教大学総合研究所,['388p ; 22cm'],2013,['図書']
裁判員裁判時代の刑事裁判,"安廣, 文夫, 1944-",['517p ; 22cm'],2015,['図書']
労働法が目指すべきもの : 渡辺章先生古稀記念,"菅野, 和夫, 1943-",['344p ; 22cm'],2011,['図書']
リーディングス日本の社会福祉,"岩田, 正美, 1947-",['417p ; 22cm'],2010,['図書']
精神医学の方位 : 松下正明先生古稀記念論文集,"坂口, 正道, 1944-",['301p ; 27cm'],2007,['図書']
子どもと保育,,['203p ; 21cm'],2009,['図書']
生活保護,"埋橋, 孝文, 1951-","['270,7p ; 26cm']",2013,['図書']
上野学園創立105周年記念論文集 : 上野学園大学・同短期大学部研究紀要,上野学園大学,['235 p ; 26 cm'],2010,['図書']
宇井純セレクション,"宇井, 純, 1932-2006",['381p ; 20cm'],2014,['図書']
福祉文化学の源流と前進,"永山, 誠, 1946-",['275p ; 19cm'],2011,['図書']
最初期キリスト教思想の軌跡 : イエス・パウロ・その後,"青野, 太潮, 1942-",['869p ; 20cm'],2013,['図書']
企業法の進路 : 江頭憲治郎先生古稀記念,"黒沼, 悦郎, 1960-",['1067p ; 22cm'],2017,['図書']
